,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,cls
0,0.0041237109999999995,0.0,0.9896907220000001,0.0,0.0,0.002061856,0.0,0.002061856,0.0,0.002061856,1
1,0.024291497999999998,0.0,0.9514170040000001,0.0,0.0,0.008097166,0.0,0.0,0.0,0.016194332,1
2,0.02293578,0.0,0.949541284,0.0,0.004587155999999999,0.004587155999999999,0.0,0.009174311999999999,0.0,0.009174311999999999,1
3,0.051369862999999995,0.0034246579999999997,0.784246575,0.0,0.0,0.109589041,0.0,0.037671233,0.006849315,0.006849315,1
4,0.015706806,0.0,0.8638743459999999,0.0,0.005235602,0.060209424000000004,0.0,0.047120419000000004,0.0,0.007853403,1
5,0.008823529,0.0,0.758823529,0.0029411759999999998,0.0,0.15,0.0029411759999999998,0.052941176,0.017647059,0.005882353000000001,1
6,0.034934498,0.0,0.794759825,0.002183406,0.0,0.113537118,0.0,0.045851527999999996,0.004366812,0.004366812,1
7,0.041666667000000004,0.0,0.7613636359999999,0.003787879,0.0,0.151515152,0.003787879,0.022727273,0.007575758,0.007575758,1
8,0.034482759,0.0,0.822281167,0.00265252,0.00265252,0.06366047700000001,0.00265252,0.06366047700000001,0.00265252,0.00530504,1
9,0.018808777,0.0,0.815047022,0.0,0.0031347959999999996,0.10031348,0.0,0.053291535999999994,0.0031347959999999996,0.006269591999999999,1
10,0.02,0.012,0.82,0.004,0.004,0.10400000000000001,0.0,0.032,0.0,0.004,1
11,0.023897059,0.0036764709999999997,0.867647059,0.0036764709999999997,0.007352941,0.029411765,0.0,0.03125,0.011029411999999999,0.022058823999999998,1
12,0.0042553190000000005,0.0,0.970212766,0.00212766,0.00212766,0.0,0.00212766,0.010638298000000001,0.00212766,0.006382979,1
13,0.004338395,0.0,0.665943601,0.0,0.056399132000000005,0.045553145,0.0,0.197396963,0.028199566000000002,0.0021691970000000003,1
14,0.004662005,0.0,0.8275058279999999,0.004662005,0.025641026,0.020979021,0.0,0.081585082,0.034965035,0.0,1
15,0.031809145,0.0,0.821073559,0.0,0.019880716,0.015904573,0.0,0.069582505,0.031809145,0.009940358,1
16,0.007952286,0.003976143,0.725646123,0.001988072,0.031809145,0.023856858999999998,0.001988072,0.099403579,0.10139165,0.001988072,1
17,0.0062240659999999995,0.002074689,0.682572614,0.0,0.058091286,0.024896266,0.0,0.126556017,0.095435685,0.004149378,1
18,0.017167382,0.0,0.864806867,0.0,0.004291845,0.019313305,0.0,0.032188841,0.05364806900000001,0.008583691,1
19,0.020179372,0.0,0.802690583,0.006726457,0.022421525,0.040358744,0.0,0.085201794,0.01793722,0.004484305,1
20,0.023060797,0.0,0.758909853,0.002096436,0.027253668999999998,0.031446541,0.002096436,0.12159329099999999,0.020964361,0.012578616,1
21,0.014925373,0.002487562,0.48507462700000004,0.004975124,0.087064677,0.059701493,0.0,0.281094527,0.062189055,0.002487562,1
22,0.021428571,0.0,0.397619048,0.004761905,0.121428571,0.052380952,0.0,0.32857142899999997,0.061904762,0.011904762,2
23,0.013856813,0.0,0.637413395,0.0,0.053117782999999995,0.055427252,0.0,0.22170900699999999,0.011547344,0.006928406,1
24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,0.010810811000000002,0.0,0.9513513509999999,0.0,0.0,0.002702703,0.0,0.021621622000000004,0.0,0.013513513999999999,1
26,0.0,0.0,0.941358025,0.0,0.0,0.00308642,0.0,0.046296295999999994,0.0,0.009259259,1
27,0.012618296999999999,0.0,0.949526814,0.0,0.0,0.009463721999999999,0.0,0.022082018999999998,0.0,0.0063091480000000005,1
28,0.0031545740000000003,0.0,0.96214511,0.0031545740000000003,0.0,0.009463721999999999,0.0031545740000000003,0.009463721999999999,0.0,0.009463721999999999,1
29,0.027190332,0.0,0.797583082,0.003021148,0.0,0.009063444,0.0,0.157099698,0.0,0.006042296,1
30,0.0038610040000000003,0.0,0.9382239379999999,0.0038610040000000003,0.0,0.0038610040000000003,0.0,0.011583012,0.0038610040000000003,0.034749035,1
31,0.008298755,0.0,0.9087136929999999,0.0,0.0,0.008298755,0.004149378,0.041493776,0.004149378,0.024896266,1
32,0.0074074069999999995,0.0,0.977777778,0.0,0.0,0.0,0.0037037040000000004,0.0037037040000000004,0.0,0.0074074069999999995,1
33,0.007380074,0.0,0.963099631,0.0,0.0,0.0,0.003690037,0.011070111,0.003690037,0.011070111,1
34,0.0,0.0,0.9490740740000001,0.0,0.0,0.00462963,0.00462963,0.023148147999999997,0.0,0.018518519,1
35,0.004065041,0.004065041,0.971544715,0.0,0.004065041,0.0,0.0,0.008130080999999999,0.0,0.008130080999999999,1
